component_name;replacement_name;comment;source_url
@babel/plugin-transform-modules-umd;babel;;https://github.com/babel/babel
@babel/plugin-transform-reserved-words;babel;;https://github.com/babel/babel
@babel/plugin-transform-unicode-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-object-super;babel;;https://github.com/babel/babel
@babel/plugin-transform-sticky-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-exponentiation-operator;babel;;https://github.com/babel/babel
@babel/helper-annotate-as-pure;babel;;https://github.com/babel/babel
@babel/plugin-transform-new-target;babel;;https://github.com/babel/babel
@babel/plugin-proposal-class-static-block;babel;;https://github.com/babel/babel
@babel/plugin-proposal-optional-catch-binding;babel;;https://github.com/babel/babel
@babel/helper-optimise-call-expression;babel;;https://github.com/babel/babel
@babel/plugin-transform-block-scoped-functions;babel;;https://github.com/babel/babel
@babel/plugin-proposal-unicode-property-regex;babel;;https://github.com/babel/babel
@babel/plugin-proposal-dynamic-import;babel;;https://github.com/babel/babel
@babel/plugin-transform-member-expression-literals;babel;;https://github.com/babel/babel
@babel/plugin-transform-dotall-regex;babel;;https://github.com/babel/babel
@babel/helper-explode-assignable-expression;babel;;https://github.com/babel/babel
@babel/plugin-transform-property-literals;babel;;https://github.com/babel/babel
@babel/helper-create-class-features-plugin;babel;;https://github.com/babel/babel
@babel/helper-wrap-function;babel;;https://github.com/babel/babel
@babel/plugin-transform-regenerator;babel;;https://github.com/babel/babel
@babel/plugin-transform-parameters;babel;;https://github.com/babel/babel
@babel/plugin-transform-block-scoping;babel;;https://github.com/babel/babel
@babel/plugin-proposal-private-property-in-object;babel;;https://github.com/babel/babel
@babel/helper-create-regexp-features-plugin;babel;;https://github.com/babel/babel
@babel/plugin-transform-named-capturing-groups-regex;babel;;https://github.com/babel/babel
@babel/compat-data;babel;;https://github.com/babel/babel

@angular/cdk;angular/components;;https://github.com/angular/components
@angular/google-maps;angular/components;;https://github.com/angular/components
@angular/youtube-player;angular/components;;https://github.com/angular/components
@angular/material;angular/components;;https://github.com/angular/components
@angular/material-moment-adapter;angular/components;;https://github.com/angular/components

@capacitor/core;capacitor;;
@capacitor/cli;capacitor;;
@capacitor/ios;capacitor;;
@capacitor/android;capacitor;;
@capacitor/create-plugin;capacitor;;
@capacitor/create-app;capacitor;;
@capacitor/storage;capacitor;;
@capacitor/status-bar;capacitor;;
@capacitor/device;capacitor;;
@capacitor/electron;capacitor;;
@capacitor/angular;capacitor;;
@capacitor/app;capacitor-plugins;;
@capacitor/filesystem;capacitor-plugins;;
@capacitor/haptics;capacitor-plugins;;
@capacitor/keyboard;capacitor-plugins;;
@capacitor/network;capacitor-plugins;;
@capacitor/splash-screen;capacitor-plugins;;

hibernate-agroal;hibernate;;
hibernate-c3p0;hibernate;;
hibernate-commons-annotations;hibernate;;
hibernate-core;hibernate;;
hibernate-ehcache;hibernate;;
hibernate-envers;hibernate;;
hibernate-hikaricp;hibernate;;
hibernate-jcache;hibernate;;
hibernate-jpamodelgen;hibernate;;
hibernate-osgi;hibernate;;
hibernate-proxool;hibernate;;
hibernate-spatial;hibernate;;
hibernate-vibur;hibernate;;

@ionic/cli;@ionic/cli;;
@ionic/utils-fs;@ionic/cli;;
@ionic/utils-array;@ionic/cli;;
@ionic/utils-network;@ionic/cli;;
@ionic/utils-object;@ionic/cli;;
@ionic/utils-process;@ionic/cli;;
@ionic/utils-stream;@ionic/cli;;
@ionic/utils-subprocess;@ionic/cli;;
@ionic/utils-terminal;@ionic/cli;;

@ionic/core;ionic;;
@ionic/angular;ionic;;
@ionic/vue;ionic;;
@ionic/react;ionic;;

@ionic-native/abbyy-rtr;ionic-native;;
@ionic-native/action-sheet;ionic-native;;
@ionic-native/adjust;ionic-native;;
@ionic-native/admob;ionic-native;;
@ionic-native/admob-free;ionic-native;;
@ionic-native/admob-plus;ionic-native;;
@ionic-native/admob-pro;ionic-native;;
@ionic-native/aes-256;ionic-native;;
@ionic-native/alipay;ionic-native;;
@ionic-native/analytics-firebase;ionic-native;;
@ionic-native/android-exoplayer;ionic-native;;
@ionic-native/android-fingerprint-auth;ionic-native;;
@ionic-native/android-full-screen;ionic-native;;
@ionic-native/android-permissions;ionic-native;;
@ionic-native/anyline;ionic-native;;
@ionic-native/app-availability;ionic-native;;
@ionic-native/app-center-analytics;ionic-native;;
@ionic-native/app-center-crashes;ionic-native;;
@ionic-native/app-center-push;ionic-native;;
@ionic-native/app-launcher;ionic-native;;
@ionic-native/app-minimize;ionic-native;;
@ionic-native/app-preferences;ionic-native;;
@ionic-native/app-rate;ionic-native;;
@ionic-native/app-update;ionic-native;;
@ionic-native/app-version;ionic-native;;
@ionic-native/apple-pay;ionic-native;;
@ionic-native/apple-wallet;ionic-native;;
@ionic-native/appodeal;ionic-native;;
@ionic-native/appsflyer;ionic-native;;
@ionic-native/audio-management;ionic-native;;
@ionic-native/autostart;ionic-native;;
@ionic-native/background-fetch;ionic-native;;
@ionic-native/background-geolocation;ionic-native;;
@ionic-native/background-mode;ionic-native;;
@ionic-native/backlight;ionic-native;;
@ionic-native/badge;ionic-native;;
@ionic-native/baidu-push;ionic-native;;
@ionic-native/barcode-scanner;ionic-native;;
@ionic-native/base64;ionic-native;;
@ionic-native/base64-to-gallery;ionic-native;;
